City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Zhalantun,48.0,122.72,66.42,62,98,3.96,CN,1593805852
1,Punta Arenas,-53.15,-70.92,33.8,100,90,3.36,CL,1593805852
2,Albany,42.6,-73.97,73.99,80,100,5.86,US,1593805852
3,Ushuaia,-54.8,-68.3,30.2,92,90,3.04,AR,1593805852
4,Guangzhou,23.12,113.25,82.99,88,75,6.71,CN,1593805807
5,Hobart,-42.88,147.33,45.0,70,75,12.75,AU,1593805819
6,Butaritari,3.07,172.79,82.54,74,84,12.06,KI,1593805853
7,Norman Wells,65.28,-126.83,59.0,62,75,8.05,CA,1593805853
8,Mahébourg,-20.41,57.7,71.6,64,75,12.75,MU,1593805853
9,Kapaa,22.08,-159.32,82.99,69,40,14.99,US,1593805853
10,Mataura,-46.19,168.86,39.0,83,100,3.0,NZ,1593805853
11,Kjøllefjord,70.95,27.35,48.2,66,87,9.17,NO,1593805853
12,Alofi,-19.06,-169.92,73.4,78,100,12.75,NU,1593805854
13,Jiaozuo,35.24,113.23,74.23,74,100,3.58,CN,1593805854
14,Palmer,42.16,-72.33,71.01,94,90,5.82,US,1593805854
15,Walvis Bay,-22.96,14.51,73.4,20,0,10.29,NA,1593805854
16,Hillsborough,37.57,-122.38,70.0,63,20,14.99,US,1593805849
17,Jamestown,42.1,-79.24,82.4,54,1,13.87,US,1593805855
18,Lorengau,-2.02,147.27,82.56,75,72,6.96,PG,1593805855
19,Alice Springs,-23.7,133.88,44.6,60,100,5.82,AU,1593805855
20,Ribeira Grande,38.52,-28.7,71.6,83,40,8.05,PT,1593805855
21,Kembé,4.62,21.89,70.97,94,28,2.39,CF,1593805855
22,Atuona,-9.8,-139.03,79.88,78,21,25.68,PF,1593805856
23,Belaya Gora,68.53,146.42,43.32,81,89,13.94,RU,1593805856
24,Bluff,-46.6,168.33,39.0,83,100,3.0,NZ,1593805856
25,Shelui,-4.37,34.2,70.66,44,42,11.7,TZ,1593805856
26,Dawlatabad,36.41,64.91,71.47,21,0,3.78,AF,1593805856
27,Khatanga,71.97,102.5,48.81,64,0,12.24,RU,1593805856
28,Port Alfred,-33.59,26.89,54.0,84,25,4.0,ZA,1593805856
29,Terrace,54.52,-128.6,57.2,71,90,3.36,CA,1593805856
30,Thompson,55.74,-97.86,80.6,39,40,8.05,CA,1593805857
31,Port Hedland,-20.32,118.57,69.8,30,0,14.99,AU,1593805857
32,Nuuk,64.18,-51.72,48.2,66,20,8.05,GL,1593805602
33,Saint Paul Harbor,57.79,-152.41,62.6,67,40,4.7,US,1593805857
34,Ronneby,56.21,15.28,60.8,67,99,4.7,SE,1593805858
35,East London,-33.02,27.91,59.49,71,5,6.02,ZA,1593805858
36,Nizhniy Kuranakh,58.84,125.49,53.44,81,95,3.27,RU,1593805858
37,Qaanaaq,77.48,-69.36,44.4,65,100,1.97,GL,1593805858
38,Yellowknife,62.46,-114.35,64.4,68,75,10.29,CA,1593805858
39,Saint-Philippe,-21.36,55.77,66.2,68,46,6.93,RE,1593805858
40,Padang,-0.95,100.35,78.03,81,100,4.94,ID,1593805859
41,Maniitsoq,65.42,-52.9,46.44,77,66,10.47,GL,1593805859
42,Chui,-33.7,-53.46,51.28,77,36,6.53,UY,1593805859
43,Sechura,-5.56,-80.82,74.48,56,16,13.09,PE,1593805859
44,Tsimmerbude,54.67,20.13,60.8,87,40,6.71,RU,1593805860
45,Te Anau,-45.42,167.72,42.6,91,100,1.59,NZ,1593805860
46,Santa Cruz do Rio Pardo,-22.9,-49.63,62.04,67,0,2.77,BR,1593805662
47,Vila Franca do Campo,37.72,-25.43,69.8,73,20,8.05,PT,1593805860
48,Pangkalanbuun,-2.68,111.62,72.81,96,100,2.8,ID,1593805860
49,Hobyo,5.35,48.53,78.82,70,99,31.74,SO,1593805860
50,Chenghai,23.46,116.77,78.8,100,40,4.88,CN,1593805860
51,Pascagoula,30.37,-88.56,93.2,56,75,3.36,US,1593805582
52,Puqi,29.72,113.88,76.01,93,100,0.36,CN,1593805861
53,Vaini,-21.2,-175.2,68.0,77,40,8.05,TO,1593805861
54,Hermanus,-34.42,19.23,44.01,94,0,4.12,ZA,1593805861
55,Chokurdakh,70.63,147.92,38.93,85,100,16.8,RU,1593805861
56,Tuktoyaktuk,69.45,-133.04,39.2,93,90,14.99,CA,1593805861
57,Ust-Nera,64.57,143.2,49.55,57,100,6.64,RU,1593805862
58,Hilo,19.73,-155.09,80.6,61,1,6.93,US,1593805862
59,Castro,-24.79,-50.01,53.22,63,0,1.36,BR,1593805862
60,Ahipara,-35.17,173.17,47.75,78,30,4.23,NZ,1593805862
61,San Quintín,30.48,-115.95,74.73,59,1,15.26,MX,1593805862
62,Safi,32.3,-9.24,69.46,75,0,19.57,MA,1593805862
63,Clyde River,70.47,-68.59,53.6,62,75,11.41,CA,1593805862
64,Kaitangata,-46.28,169.85,45.0,69,100,4.0,NZ,1593805863
65,Severo-Kuril'sk,50.68,156.12,47.5,74,58,13.94,RU,1593805863
66,Qinhuangdao,39.93,119.59,67.69,87,69,7.27,CN,1593805863
67,Cape Town,-33.93,18.42,50.0,93,0,2.24,ZA,1593805592
68,Fairbanks,64.84,-147.72,66.99,55,1,7.38,US,1593805576
69,Pisco,-13.7,-76.22,63.0,82,90,8.05,PE,1593805751
70,Jaisalmer,26.91,70.92,94.12,47,23,24.18,IN,1593805863
71,Quevedo,-1.03,-79.45,83.48,62,89,4.63,EC,1593805864
72,Nikolskoye,59.7,30.79,66.0,67,20,2.24,RU,1593805864
73,Craig,40.52,-107.55,87.8,16,1,12.75,US,1593805864
74,Port Elizabeth,-33.92,25.57,53.6,81,48,4.7,ZA,1593805864
75,Stryn,61.9,6.72,53.6,58,20,2.24,NO,1593805864
76,Bredasdorp,-34.53,20.04,48.2,87,32,5.82,ZA,1593805864
77,Saint George,37.1,-113.58,98.01,21,20,8.05,US,1593805865
78,Vestmanna,62.16,-7.17,48.2,70,17,11.41,FO,1593805865
79,Tiksi,71.69,128.87,34.72,93,100,13.56,RU,1593805865
