City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mataura,-46.19,168.86,53.01,74,80,17.0,NZ,1554087007
1,Vaini,15.34,74.49,71.6,88,0,3.36,IN,1554084000
2,Carutapera,-1.2,-46.02,77.15,100,92,5.64,BR,1554087005
3,Puerto Ayora,-0.74,-90.35,79.0,92,0,6.98,EC,1554086766
4,Kapaa,22.08,-159.32,80.6,54,20,19.46,US,1554087195
5,Faya,18.39,42.45,60.8,71,0,11.41,SA,1554084000
6,Hermanus,-34.42,19.24,57.0,66,44,3.0,ZA,1554086794
7,Prestea,5.43,-2.14,75.98,95,0,2.39,GH,1554087243
8,Albany,42.65,-73.75,37.4,64,90,18.34,US,1554087199
9,Castro,-42.48,-73.76,51.8,100,90,4.7,CL,1554084000
10,Lebu,8.96,38.73,60.8,55,40,2.24,ET,1554084000
11,Tarko-Sale,64.92,77.78,28.0,91,12,10.56,RU,1554087031
12,Dikson,73.51,80.55,30.17,97,76,19.39,RU,1554087244
13,Sioux Lookout,50.1,-91.92,30.2,39,75,3.36,CA,1554084000
14,Luderitz,-26.65,15.16,59.96,83,12,18.84,NA,1554086965
15,Hobart,-42.88,147.33,62.01,41,40,5.82,AU,1554087016
16,Xining,36.62,101.77,48.17,31,8,3.06,CN,1554087117
17,Busselton,-33.64,115.35,84.0,32,48,12.35,AU,1554087123
18,Punta Arenas,-53.16,-70.91,50.0,87,75,8.05,CL,1554087146
19,New Norfolk,-42.78,147.06,62.01,41,40,5.82,AU,1554087136
20,Cape Town,-33.93,18.42,60.01,67,40,12.75,ZA,1554086890
21,Cayenne,4.94,-52.33,78.8,78,80,6.98,GF,1554085800
22,Rikitea,-23.12,-134.97,76.79,100,36,16.82,PF,1554087245
23,Lagoa,37.14,-8.45,59.0,87,75,5.82,PT,1554087137
24,Isangel,-19.55,169.27,84.2,79,75,9.17,VU,1554084000
25,Pisco,-13.71,-76.2,75.2,73,12,9.17,PE,1554084000
26,Georgetown,6.8,-58.16,75.2,88,20,4.7,GY,1554084000
27,Chuy,-33.69,-53.46,64.01,90,44,4.97,UY,1554087247
28,Ostrovnoy,68.05,39.51,22.7,82,32,17.83,RU,1554087247
29,Ushuaia,-54.81,-68.31,48.2,76,90,10.29,AR,1554084000
30,Ribeira Grande,38.52,-28.7,59.33,100,64,25.55,PT,1554087248
31,Norman Wells,65.28,-126.83,32.0,94,90,11.41,CA,1554084000
32,Son Tay,21.14,105.5,69.8,100,75,4.7,VN,1554084000
33,Lavrentiya,65.58,-170.99,29.18,100,64,5.3,RU,1554087249
34,Aklavik,68.22,-135.01,28.4,74,90,14.99,CA,1554084000
35,Ovalle,-30.6,-71.2,59.06,89,68,3.74,CL,1554087057
36,Atuona,-9.8,-139.03,82.28,100,20,12.01,PF,1554087050
37,Jamestown,-33.21,138.6,67.43,60,0,2.51,AU,1554087249
38,Vinh,18.67,105.69,71.84,100,92,5.64,VN,1554087233
39,Avarua,-21.21,-159.78,82.4,88,0,9.17,CK,1554085800
40,Carnarvon,-30.97,22.13,48.71,46,0,10.78,ZA,1554087250
41,Kirksville,40.19,-92.58,37.4,55,1,3.36,US,1554084900
42,Bhadrachalam,17.67,80.89,81.02,69,0,4.63,IN,1554087250
43,Bambous Virieux,-20.34,57.76,75.2,94,75,5.82,MU,1554087243
44,Bijie,27.3,105.3,51.5,100,68,3.62,CN,1554087251
45,Tshikapa,-6.42,20.79,73.01,96,12,2.17,CD,1554087251
46,Veranopolis,-28.94,-51.55,69.01,99,44,4.85,BR,1554087025
47,Mandalgovi,45.76,106.27,35.39,63,92,9.78,MN,1554087252
48,Bethel,60.79,-161.76,51.8,53,1,11.41,US,1554083760
49,Pontes e Lacerda,-15.23,-59.33,74.0,91,8,2.73,BR,1554087253
50,Ancud,-41.87,-73.83,51.8,100,90,4.7,CL,1554084000
51,Macusani,-14.07,-70.43,47.0,94,0,1.83,PE,1554087253
52,San Miguel,-34.54,-58.72,72.0,73,0,8.05,AR,1554087226
53,Eyl,7.98,49.82,78.23,100,80,5.86,SO,1554087254
54,Barrow,-38.31,-60.23,68.15,60,44,7.76,AR,1554087028
55,Kaitangata,-46.28,169.85,62.01,33,32,21.0,NZ,1554086941
56,Ambon,47.55,-2.56,52.0,93,0,11.41,FR,1554087173
57,San Patricio,-26.98,-56.83,78.41,72,76,3.96,PY,1554087255
58,Balkanabat,39.51,54.36,40.43,84,92,10.67,TM,1554087256
59,Bredasdorp,-34.53,20.04,55.4,76,8,8.05,ZA,1554084000
60,Lianran,24.92,102.47,73.99,82,75,4.47,CN,1554087230
61,Arraial do Cabo,-22.97,-42.02,74.99,98,20,3.62,BR,1554087203
62,Avera,33.19,-82.53,55.4,53,1,5.82,US,1554087181
63,Yarim,14.3,44.38,39.71,76,0,1.28,YE,1554087257
64,San Quintin,17.54,120.52,87.05,50,8,3.62,PH,1554087257
65,Yellowknife,62.45,-114.38,33.8,86,75,10.29,CA,1554087183
66,Antalaha,-14.9,50.28,75.53,92,0,2.39,MG,1554087257
67,Santa Rosa,-36.62,-64.29,65.63,99,92,4.18,AR,1554087260
68,Esperance,10.24,-61.45,77.0,83,20,6.93,TT,1554087007
69,LOS ALGARROBOS,-3.25,-79.94,89.6,83,75,5.82,EC,1554084000
70,Mar del Plata,-46.43,-67.52,63.2,48,36,13.13,AR,1554087131
71,Parkes,-33.14,148.18,73.99,37,0,1.01,AU,1554086751
72,At-Bashi,41.17,75.81,36.0,56,0,1.99,KG,1554087046
73,Fare,-16.7,-151.02,84.71,100,12,4.18,PF,1554087261
74,Tasiilaq,65.61,-37.64,21.2,73,88,8.05,GL,1554083400
75,Sola,58.89,5.65,33.01,86,0,3.36,NO,1554087020
76,Cap Malheureux,-19.98,57.61,75.2,94,75,5.82,MU,1554087243
77,Limaong,7.36,122.37,82.4,78,20,6.93,PH,1554084000
78,Airai,-8.93,125.41,83.81,55,8,1.72,TL,1554087263
79,Kamyshevatskaya,46.41,37.96,44.66,96,0,17.72,RU,1554087263
80,Lincoln,53.23,-0.54,41.0,87,0,5.82,GB,1554087207
81,Kodiak,39.95,-94.76,39.0,40,1,5.82,US,1554087232
82,Coquimbo,-29.95,-71.34,59.0,77,0,4.7,CL,1554084000
83,Jawhar,19.91,73.23,75.98,70,0,4.41,IN,1554087264
84,Hilo,19.71,-155.08,75.99,83,90,11.41,US,1554087031
85,Chokurdakh,70.62,147.9,21.35,96,0,4.97,RU,1554087021
86,Hithadhoo,-0.6,73.08,83.18,100,0,5.53,MV,1554087265
87,Saint-Philippe,45.36,-73.48,32.0,90,90,9.17,CA,1554087088
88,Mecca,21.43,39.83,54.74,50,0,5.86,SA,1554087265
89,Ajaccio,41.93,8.74,50.0,81,0,6.93,FR,1554085800
90,Baykit,61.68,96.39,33.95,91,92,12.12,RU,1554087266
91,Qaanaaq,77.48,-69.36,-1.79,79,68,6.42,GL,1554087266
92,Nyaunglebin,17.95,96.73,86.24,53,0,4.18,MM,1554087266
93,Bluff,-23.58,149.07,79.13,47,0,6.98,AU,1554087266
94,Beringovskiy,63.05,179.32,32.6,96,88,16.26,RU,1554087267
95,Sisimiut,66.94,-53.67,13.16,100,68,2.06,GL,1554087267
96,North Platte,41.12,-100.77,39.2,69,1,4.7,US,1554087151
97,Te Anau,-45.41,167.72,49.25,68,48,12.24,NZ,1554087247
98,Nanortalik,60.14,-45.24,26.48,100,12,19.28,GL,1554087267
99,Hastings,-39.64,176.84,72.29,77,92,20.29,NZ,1554087268
100,Kruisfontein,-34.0,24.73,58.7,91,32,22.08,ZA,1554087268
101,Yumen,40.29,97.04,49.61,38,64,5.08,CN,1554087268
102,Khor,47.88,134.96,32.15,84,0,6.2,RU,1554087268
103,Zlobin,45.29,14.65,62.6,33,0,6.93,HR,1554087261
104,Codrington,-28.95,153.24,78.01,53,90,6.93,AU,1554087158
105,Bemidji,47.48,-94.89,30.2,86,90,3.96,US,1554086728
106,Chumikan,54.72,135.31,31.07,68,80,4.41,RU,1554087269
107,Jiuquan,39.73,98.49,43.85,69,44,2.62,CN,1554087270
108,Saint-Leu,-21.15,55.28,77.0,69,0,5.82,RE,1554086778
109,Kavieng,-2.57,150.8,82.46,100,36,7.87,PG,1554087270
110,Jeremie,18.65,-74.12,75.8,99,0,6.76,HT,1554087270
111,Saldanha,41.42,-6.55,39.8,94,20,2.62,PT,1554087270
112,Izhma,65.01,53.91,26.57,84,80,4.63,RU,1554087274
113,Umea,63.83,20.26,28.4,63,0,3.36,SE,1554085200
114,Bubaque,11.28,-15.83,82.55,91,0,4.85,GW,1554087274
115,Victoria,5.28,115.24,86.0,62,75,10.29,BN,1554084000
116,Rongcheng,37.16,122.42,62.01,37,24,8.88,CN,1554087036
117,Vao,59.1,26.19,30.98,88,8,10.0,EE,1554087275
118,Saint-Francois,46.42,3.91,33.8,82,0,2.24,FR,1554086755
119,Mandera,3.94,41.86,71.39,52,0,4.07,ET,1554087275
120,Chegem Vtoroy,43.6,43.6,32.0,87,90,8.95,RU,1554084000
121,Hami,42.84,93.51,55.55,47,88,6.2,CN,1554087276
122,Alofi,-19.06,-169.92,80.6,83,92,10.29,NU,1554084000
123,Kijang,35.24,129.21,50.0,23,0,14.99,KR,1554084000
124,Phan Thiet,10.93,108.1,85.79,79,8,12.68,VN,1554087276
125,Leningradskiy,69.38,178.42,11.0,92,56,12.24,RU,1554087105
126,Kudahuvadhoo,2.67,72.89,83.54,100,0,4.29,MV,1554087134
127,San Carlos de Bariloche,-41.13,-71.31,57.2,76,0,9.17,AR,1554084000
128,Guerrero Negro,27.97,-114.04,71.66,29,48,10.56,MX,1554087246
129,Severo-Kurilsk,50.68,156.12,29.63,100,76,2.06,RU,1554087277
130,Gizo,31.8,34.94,53.6,87,75,11.41,IL,1554087271
131,Placido de Castro,-10.34,-67.19,77.24,93,12,2.06,BR,1554087278
132,Shache,38.42,77.24,53.57,45,0,4.41,CN,1554087255
133,Ilulissat,69.22,-51.1,15.8,61,0,18.34,GL,1554083400
134,Guayaramerin,-10.82,-65.36,77.15,89,8,1.95,BO,1554087278
135,Eureka,40.8,-124.16,53.01,87,90,6.93,US,1554087006
136,Fortuna,38.18,-1.13,57.2,93,75,6.93,ES,1554087275
137,East London,-33.02,27.91,62.6,82,90,24.16,ZA,1554085980
138,Santa Cruz del Sur,20.71,-78.0,72.65,87,80,8.1,CU,1554087280
139,Nantucket,41.28,-70.1,43.0,87,90,16.11,US,1554086948
140,Port Alfred,-33.59,26.89,66.35,94,20,24.54,ZA,1554087280
141,Chhuikhadan,21.52,81.0,79.13,50,0,5.19,IN,1554087280
142,Provideniya,64.42,-173.23,32.0,100,90,6.71,RU,1554084000
143,Kendari,-3.99,122.52,82.46,92,68,3.74,ID,1554087280
144,Maniitsoq,65.42,-52.9,22.97,87,76,12.8,GL,1554087222
145,Bandarbeyla,9.49,50.81,77.78,100,76,2.62,SO,1554087281
146,Amahai,-3.31,129.0,84.08,100,32,11.79,ID,1554087281
147,Portel,38.31,-7.71,51.8,100,0,4.07,PT,1554084000
148,Ahipara,-35.17,173.16,68.24,100,92,7.76,NZ,1554087217
149,Anadyr,64.73,177.51,33.8,94,90,24.61,RU,1554087146
150,Thompson,55.74,-97.86,24.8,62,75,5.82,CA,1554084000
151,La Ronge,55.1,-105.3,32.0,54,75,2.24,CA,1554084000
152,Kokubu,31.73,130.77,55.4,37,75,18.34,JP,1554084240
153,Hambantota,6.12,81.12,80.6,94,20,5.82,LK,1554084600
154,Kanganpur,29.52,75.05,77.06,46,0,3.18,IN,1554087282
155,Dunedin,-45.87,170.5,66.0,37,32,18.99,NZ,1554086786
156,Ust-Tarka,55.56,75.71,30.08,91,0,13.02,RU,1554087283
157,Hasaki,35.73,140.83,61.0,30,75,12.75,JP,1554087278
158,Tomatlan,19.93,-105.25,66.26,81,0,2.28,MX,1554087283
159,Pangnirtung,66.15,-65.72,7.31,75,76,7.2,CA,1554087201
160,Tymoshivka,48.98,32.07,37.64,88,32,9.55,UA,1554087284
161,Saint-Georges,46.12,-70.67,30.99,88,64,5.01,CA,1554086771
162,Zhigansk,66.77,123.37,26.93,78,64,8.43,RU,1554087284
163,Katsuura,33.93,134.5,50.0,53,75,19.46,JP,1554086100
164,Nishihara,35.74,139.53,61.0,74,40,6.93,JP,1554087207
165,Khatanga,71.98,102.47,30.53,97,88,6.64,RU,1554087285
166,Usogorsk,63.43,48.71,23.6,83,64,3.29,RU,1554087286
167,Chara,39.42,22.43,42.8,86,0,2.62,GR,1554083400
168,Khani,41.96,42.96,50.0,46,75,19.46,GE,1554085800
169,Coracora,-15.02,-73.78,41.87,99,68,2.17,PE,1554087286
170,Belaya Gora,68.54,146.19,20.81,98,0,4.18,RU,1554087286
171,Iquitos,-3.75,-73.25,78.8,94,75,3.36,PE,1554084000
172,Yerbogachen,61.28,108.01,33.59,70,48,6.64,RU,1554087287
173,Krasnopillya,50.77,35.26,39.53,88,48,6.76,UA,1554087287
174,Clyde River,70.47,-68.59,1.4,91,90,5.82,CA,1554084000
175,Luwuk,-0.95,122.79,79.67,98,92,1.5,ID,1554087117
176,Mahebourg,-20.41,57.7,75.2,94,75,5.82,MU,1554087243
177,Mon,26.73,95.03,64.91,100,92,3.62,IN,1554087288
178,Sauda,59.65,6.35,33.01,68,0,1.99,NO,1554087283
179,Nokaneng,-19.66,22.19,69.77,57,0,4.52,BW,1554087291
180,Ajdabiya,30.75,20.22,42.23,86,0,2.84,LY,1554087292
181,Noumea,-22.28,166.46,86.0,62,75,12.75,NC,1554085800
182,Huarmey,-10.07,-78.15,64.28,90,8,3.96,PE,1554087234
183,Arrah,25.56,84.66,71.6,73,20,11.41,IN,1554084000
184,Fuerte Olimpo,-21.04,-57.87,82.01,53,0,6.87,BR,1554087292
185,Koumac,-20.56,164.28,81.47,77,88,2.73,NC,1554087293
186,Lompoc,34.64,-120.46,64.4,59,1,8.05,US,1554087149
187,Smolenka,54.15,22.76,33.01,94,0,8.77,PL,1554086702
188,San Cristobal,-0.39,-78.55,57.2,93,75,5.82,EC,1554086803
189,Zyryanskoye,56.83,86.62,33.23,92,80,15.7,RU,1554087294
190,Kautokeino,69.01,23.04,21.53,73,0,13.24,NO,1554087294
191,Cairns,-16.92,145.77,87.8,62,40,10.29,AU,1554086776
192,Port Elizabeth,39.31,-74.98,44.6,38,1,16.11,US,1554087258
193,Kieta,-6.22,155.63,81.2,100,56,2.73,PG,1554087295
194,Bolshevik,54.01,27.57,32.0,65,0,11.18,BY,1554085800
195,Mana,43.52,20.24,41.0,72,0,2.24,RS,1554085800
196,Waounde,15.26,-12.87,78.95,32,8,12.01,SN,1554087295
197,Iqaluit,63.75,-68.52,3.2,77,75,5.82,CA,1554084000
198,Geraldton,49.72,-86.95,23.0,57,20,6.93,CA,1554084000
199,Komsomolskiy,67.55,63.78,20.18,83,20,15.26,RU,1554087296
200,Saint-Joseph,43.56,6.97,53.01,81,0,4.7,FR,1554086885
201,Juybar,36.64,52.91,51.8,87,90,4.63,IR,1554084000
202,Nikolskoye,59.7,30.79,32.0,84,0,11.18,RU,1554087098
203,Rocha,-34.48,-54.34,59.51,96,64,3.96,UY,1554087297
204,Platanos,35.47,23.6,55.4,76,40,8.05,GR,1554087051
205,Hovd,63.83,10.7,37.0,85,75,21.92,NO,1554087276
206,Sitka,37.17,-99.65,42.01,38,0,5.99,US,1554086710
207,Fairbanks,64.84,-147.72,55.4,40,1,3.62,US,1554086790
208,Sao Filipe,14.9,-24.5,70.31,98,0,14.7,CV,1554087298
209,Nizwa,22.93,57.53,62.75,40,0,2.06,OM,1554087298
210,Comodoro Rivadavia,-45.87,-67.48,69.8,35,0,10.29,AR,1554084000
211,Kushiro,43.11,144.15,37.4,47,75,3.36,JP,1554084000
212,Talbahat,25.05,78.43,77.6,32,0,4.41,IN,1554087299
213,Ponta do Sol,-20.63,-46.0,64.1,81,32,2.51,BR,1554087299
214,Krasnorechenskiy,44.63,135.35,32.69,59,80,5.75,RU,1554087300
215,Saskylakh,71.97,114.09,26.39,92,44,13.24,RU,1554087300
216,Bushenyi,-0.54,30.19,59.6,90,12,2.73,UG,1554087300
217,Xuddur,4.12,43.89,70.31,76,0,10.22,SO,1554087300
218,Waipawa,-39.94,176.59,69.01,81,92,13.24,NZ,1554087135
219,Cabo San Lucas,22.89,-109.91,77.0,41,5,6.93,MX,1554087015
220,Matamoros,25.87,-97.51,48.99,87,90,8.05,US,1554087120
221,Makakilo City,21.35,-158.09,80.6,61,1,11.41,US,1554087238
222,Kevsala,45.79,42.68,33.59,93,24,11.45,RU,1554087301
223,Buala,-8.15,159.59,80.03,100,92,2.51,SB,1554087293
224,College,64.86,-147.8,55.4,40,1,3.62,US,1554087045
225,Takoradi,4.89,-1.75,80.57,100,12,6.08,GH,1554087302
226,Bocana de Paiwas,12.79,-85.12,74.81,71,64,6.53,NI,1554087302
227,Kokopo,-4.34,152.27,82.82,98,64,7.2,PG,1554087302
228,Grindavik,63.84,-22.43,32.0,86,75,17.22,IS,1554087115
229,Abha,18.22,42.5,60.8,71,0,11.41,SA,1554084000
230,Fort-Shevchenko,44.51,50.26,39.35,100,20,18.16,KZ,1554087303
231,Narsaq,60.91,-46.05,14.0,43,0,5.82,GL,1554083400
232,Moctezuma,29.81,-109.68,64.73,20,0,3.51,MX,1554087304
233,Mackenzie,55.34,-123.09,44.6,80,75,5.82,CA,1554085800
234,Wright,43.75,-105.48,41.0,64,1,6.93,US,1554086790
235,Barra,-11.09,-43.14,70.58,100,44,2.73,BR,1554087186
236,Xinyu,27.8,114.93,60.77,84,36,7.99,CN,1554087305
237,Tabuk,17.41,121.44,75.62,79,20,2.95,PH,1554087305
238,Matara,-13.74,-72.9,43.31,95,64,1.61,PE,1554087306
239,Trairi,-3.28,-39.27,80.66,100,68,8.21,BR,1554087127
240,Ipubi,-7.65,-40.15,72.83,90,76,4.97,BR,1554087306
241,Komatsu,36.4,136.45,55.0,75,40,4.7,JP,1554087214
242,Mosquera,4.71,-74.23,59.0,77,40,2.24,CO,1554084000
243,Ambulu,-8.35,113.61,82.46,100,12,3.74,ID,1554087307
244,Pacific Grove,36.62,-121.92,64.99,51,1,6.93,US,1554087278
245,Tuktoyaktuk,69.44,-133.03,19.4,85,75,26.4,CA,1554084000
246,Bilibino,68.06,166.44,18.83,71,56,3.18,RU,1554087307
247,Lagos,6.46,3.39,82.4,88,0,7.2,NG,1554084000
248,Puerto Maldonado,-12.59,-69.19,76.34,92,8,0.94,PE,1554087308
249,Makasar,-6.28,106.88,91.0,62,20,6.93,ID,1554087299
250,Sidmouth,50.68,-3.24,44.01,100,0,6.93,GB,1554087305
